name,description,category.level_1,category.level_2,category.level_3,brand,attributes.color,attributes.size,attributes.material,pricing.cost_price,pricing.selling_price,pricing.currency,inventory.storage_type,inventory.shelf_life_days,logistics.weight_kg,logistics.fragile,logistics.hazardous
Neutrogena Ultra Sheer Sunscreen SPF 50 (30ml),Broad spectrum sun protection lotion,Beauty & Personal Care,Skincare,Moisturizer,Neutrogena,N/A,30ml,Pump Tube,$14.04,$16.93,USD,Normal,730,0.272,FALSE,FALSE
Drunk Elephant C-Firma Day Serum (100ml),Vitamin C antioxidant serum,Beauty & Personal Care,Skincare,Toner,Drunk Elephant,N/A,100ml,Plastic Bottle,$5.22,$6.46,USD,Normal,730,0.058,TRUE,FALSE
First Aid Beauty Ultra Repair Cream (100ml),Intense hydration for dry skin,Beauty & Personal Care,Skincare,Moisturizer,First Aid Beauty,N/A,100ml,Glass Bottle,$22.42,$28.27,USD,Normal,365,0.259,TRUE,FALSE
The Ordinary Niacinamide 10% + Zinc 1% (50ml),Serum to reduce blemishes and congestion,Beauty & Personal Care,Skincare,Serum,The Ordinary,N/A,50ml,Pump Tube,$8.19,$10.66,USD,Normal,540,0.231,FALSE,FALSE
Garnier Micellar Cleansing Water (150ml),All-in-one makeup remover and cleanser,Beauty & Personal Care,Skincare,Toner,Garnier,N/A,150ml,Plastic Bottle,$43.90,$57.13,USD,Normal,540,0.299,FALSE,FALSE
Aveeno Daily Moisturizing Lotion (150ml),Oat-based body lotion,Beauty & Personal Care,Skincare,Cleanser,Aveeno,N/A,150ml,Glass Bottle,$32.89,$38.42,USD,Normal,540,0.346,FALSE,FALSE
Neutrogena Ultra Sheer Sunscreen SPF 50 (100ml),Broad spectrum sun protection lotion,Beauty & Personal Care,Skincare,Cleanser,Neutrogena,N/A,100ml,Pump Tube,$22.59,$33.52,USD,Normal,540,0.157,FALSE,FALSE
Neutrogena Hydro Boost Water Gel (150ml),Lightweight hyaluronic acid moisturizer,Beauty & Personal Care,Skincare,Sunscreen,Neutrogena,N/A,150ml,Glass Bottle,$25.90,$32.32,USD,Normal,540,0.131,FALSE,FALSE
First Aid Beauty Ultra Repair Cream (50ml),Intense hydration for dry skin,Beauty & Personal Care,Skincare,Cleanser,First Aid Beauty,N/A,50ml,Pump Tube,$38.56,$56.31,USD,Normal,365,0.292,FALSE,FALSE
Neutrogena Hydro Boost Water Gel (50ml),Lightweight hyaluronic acid moisturizer,Beauty & Personal Care,Skincare,Sunscreen,Neutrogena,N/A,50ml,Pump Tube,$12.72,$17.16,USD,Normal,365,0.129,TRUE,FALSE
First Aid Beauty Ultra Repair Cream (150ml),Intense hydration for dry skin,Beauty & Personal Care,Skincare,Toner,First Aid Beauty,N/A,150ml,Pump Tube,$34.63,$45.76,USD,Normal,540,0.159,FALSE,FALSE
The Ordinary Niacinamide 10% + Zinc 1% (150ml),Serum to reduce blemishes and congestion,Beauty & Personal Care,Skincare,Moisturizer,The Ordinary,N/A,150ml,Airless Pump,$7.73,$9.03,USD,Normal,365,0.238,FALSE,FALSE
Cetaphil Moisturizing Cream (150ml),Rich cream for dry sensitive skin,Beauty & Personal Care,Skincare,Sunscreen,Cetaphil,N/A,150ml,Plastic Bottle,$19.78,$27.46,USD,Normal,730,0.125,FALSE,FALSE
CeraVe Moisturizing Cream (200ml),Face & body moisturizer with ceramides and hyaluronic acid,Beauty & Personal Care,Skincare,Serum,CeraVe,N/A,200ml,Plastic Bottle,$31.95,$43.61,USD,Normal,730,0.152,TRUE,FALSE
The Ordinary Hyaluronic Acid 2% + B5 (100ml),Hydrating serum for plump skin,Beauty & Personal Care,Skincare,Serum,The Ordinary,N/A,100ml,Plastic Bottle,$43.11,$64.67,USD,Normal,730,0.279,FALSE,FALSE
Neutrogena Ultra Sheer Sunscreen SPF 50 (200ml),Broad spectrum sun protection lotion,Beauty & Personal Care,Skincare,Cleanser,Neutrogena,N/A,200ml,Pump Tube,$38.51,$52.10,USD,Normal,365,0.162,TRUE,FALSE
Paula's Choice 2% BHA Liquid Exfoliant (30ml),Salicylic acid exfoliating toner,Beauty & Personal Care,Skincare,Serum,Paula's Choice,N/A,30ml,Pump Tube,$24.03,$28.71,USD,Normal,540,0.122,TRUE,FALSE
Drunk Elephant C-Firma Day Serum (30ml),Vitamin C antioxidant serum,Beauty & Personal Care,Skincare,Toner,Drunk Elephant,N/A,30ml,Plastic Bottle,$34.01,$50.21,USD,Normal,365,0.089,FALSE,FALSE
"First Aid Beauty Ultra Repair Cream (Pack of 2, 50ml)",Intense hydration for dry skin,Beauty & Personal Care,Skincare,Cleanser,First Aid Beauty,N/A,50ml,Pump Tube,$47.42,$66.04,USD,Normal,730,0.512,FALSE,FALSE
La Roche-Posay Anthelios Melt-in Sunscreen SPF 60 (100ml),Fast-absorbing sunscreen lotion,Beauty & Personal Care,Skincare,Moisturizer,La Roche-Posay,N/A,100ml,Pump Tube,$21.96,$29.80,USD,Normal,365,0.117,TRUE,FALSE
Drunk Elephant C-Firma Day Serum (150ml),Vitamin C antioxidant serum,Beauty & Personal Care,Skincare,Moisturizer,Drunk Elephant,N/A,150ml,Glass Bottle,$28.13,$32.43,USD,Normal,365,0.07,TRUE,FALSE
Clinique Dramatically Different Moisturizing Lotion (30ml),Iconic hydrating face lotion,Beauty & Personal Care,Skincare,Toner,Clinique,N/A,30ml,Glass Bottle,$15.42,$20.72,USD,Normal,365,0.267,FALSE,FALSE
